band	soil
1407	0.3943203
1408	0.3936102
1409	0.3929001
1410	0.39219
1411	0.392195
1412	0.3922
1413	0.392205
1414	0.39221
1415	0.392215
1416	0.39222
1417	0.392225
1418	0.39223
1419	0.392235
1420	0.39224
1421	0.3931129
1422	0.3939858
1423	0.3948587
1424	0.3957316
1425	0.3966045
1426	0.3974774
1427	0.3983503
1428	0.3992232
1429	0.4000961
1430	0.400969
1431	0.4013706
1432	0.4017722
1433	0.4021738
1434	0.4025754
1435	0.402977
1436	0.4033786
1437	0.4037802
1438	0.4041818
1439	0.4045834
1440	0.404985
1441	0.4052235
1442	0.405462
1443	0.4057005
1444	0.405939
1445	0.4061775
1446	0.406416
1447	0.4066545
1448	0.406893
1449	0.4071315
1450	0.40737
1451	0.407545
1452	0.40772
1453	0.407895
1454	0.40807
1455	0.408245
1456	0.40842
1457	0.408595
1458	0.40877
1459	0.408945
1460	0.40912
1461	0.4093118
1462	0.4095036
1463	0.4096954
1464	0.4098872
1465	0.410079
1466	0.4102708
1467	0.4104626
1468	0.4106544
1469	0.4108462
1470	0.411038
1471	0.4112842
1472	0.4115304
1473	0.4117766
1474	0.4120228
1475	0.412269
1476	0.4125152
1477	0.4127614
1478	0.4130076
1479	0.4132538
1480	0.4135
1481	0.4137318
1482	0.4139636
1483	0.4141954
1484	0.4144272
1485	0.414659
1486	0.4148908
1487	0.4151226
1488	0.4153544
1489	0.4155862
1490	0.415818
1491	0.4160259
1492	0.4162338
1493	0.4164417
1494	0.4166496
1495	0.4168575
1496	0.4170654
1497	0.4172733
1498	0.4174812
1499	0.4176891
1500	0.417897
1501	0.4180997
1502	0.4183024
1503	0.4185051
1504	0.4187078
1505	0.4189105
1506	0.4191132
1507	0.4193159
1508	0.4195186
1509	0.4197213
1510	0.419924
1511	0.420102
1512	0.42028
1513	0.420458
1514	0.420636
1515	0.420814
1516	0.420992
1517	0.42117
1518	0.421348
1519	0.421526
1520	0.421704
1521	0.421866
1522	0.422028
1523	0.42219
1524	0.422352
1525	0.422514
1526	0.422676
1527	0.422838
1528	0.423
1529	0.423162
1530	0.423324
1531	0.4234635
1532	0.423603
1533	0.4237425
1534	0.423882
1535	0.4240215
1536	0.424161
1537	0.4243005
1538	0.42444
1539	0.4245795
1540	0.424719
1541	0.4248382
1542	0.4249574
1543	0.4250766
1544	0.4251958
1545	0.425315
1546	0.4254342
1547	0.4255534
1548	0.4256726
1549	0.4257918
1550	0.425911
1551	0.4260301
1552	0.4261492
1553	0.4262683
1554	0.4263874
1555	0.4265065
1556	0.4266256
1557	0.4267447
1558	0.4268638
1559	0.4269829
1560	0.427102
1561	0.4272143
1562	0.4273266
1563	0.4274389
1564	0.4275512
1565	0.4276635
1566	0.4277758
1567	0.4278881
1568	0.4280004
1569	0.4281127
1570	0.428225
1571	0.4283293
1572	0.4284336
1573	0.4285379
1574	0.4286422
1575	0.4287465
1576	0.4288508
1577	0.4289551
1578	0.4290594
1579	0.4291637
1580	0.429268
1581	0.4293648
1582	0.4294616
1583	0.4295584
1584	0.4296552
1585	0.429752
1586	0.4298488
1587	0.4299456
1588	0.4300424
1589	0.4301392
1590	0.430236
1591	0.4303273
1592	0.4304186
1593	0.4305099
1594	0.4306012
1595	0.4306925
1596	0.4307838
1597	0.4308751
1598	0.4309664
1599	0.4310577
1600	0.431149
1601	0.4312311
1602	0.4313132
1603	0.4313953
1604	0.4314774
1605	0.4315595
1606	0.4316416
1607	0.4317237
1608	0.4318058
1609	0.4318879
1610	0.43197
1611	0.4320455
1612	0.432121
1613	0.4321965
1614	0.432272
1615	0.4323475
1616	0.432423
1617	0.4324985
1618	0.432574
1619	0.4326495
1620	0.432725
1621	0.4327924
1622	0.4328598
1623	0.4329272
1624	0.4329946
1625	0.433062
1626	0.4331294
1627	0.4331968
1628	0.4332642
1629	0.4333316
1630	0.433399
1631	0.4334606
1632	0.4335222
1633	0.4335838
1634	0.4336454
1635	0.433707
1636	0.4337686
1637	0.4338302
1638	0.4338918
1639	0.4339534
1640	0.434015
1641	0.4340641
1642	0.4341132
1643	0.4341623
1644	0.4342114
1645	0.4342605
1646	0.4343096
1647	0.4343587
1648	0.4344078
1649	0.4344569
1650	0.434506
1651	0.434548
1652	0.43459
1653	0.434632
1654	0.434674
1655	0.434716
1656	0.434758
1657	0.4348
1658	0.434842
1659	0.434884
1660	0.434926
1661	0.4349686
1662	0.4350112
1663	0.4350538
1664	0.4350964
1665	0.435139
1666	0.4351816
1667	0.4352242
1668	0.4352668
1669	0.4353094
1670	0.435352
1671	0.4353841
1672	0.4354162
1673	0.4354483
1674	0.4354804
1675	0.4355125
1676	0.4355446
1677	0.4355767
1678	0.4356088
1679	0.4356409
1680	0.435673
1681	0.4357009
1682	0.4357288
1683	0.4357567
1684	0.4357846
1685	0.4358125
1686	0.4358404
1687	0.4358683
1688	0.4358962
1689	0.4359241
1690	0.435952
1691	0.4359759
1692	0.4359998
1693	0.4360237
1694	0.4360476
1695	0.4360715
1696	0.4360954
1697	0.4361193
1698	0.4361432
1699	0.4361671
1700	0.436191
1701	0.4361954
1702	0.4361998
1703	0.4362042
1704	0.4362086
1705	0.436213
1706	0.4362174
1707	0.4362218
1708	0.4362262
1709	0.4362306
1710	0.436235
1711	0.4362202
1712	0.4362054
1713	0.4361906
1714	0.4361758
1715	0.436161
1716	0.4361462
1717	0.4361314
1718	0.4361166
1719	0.4361018
1720	0.436087
1721	0.4360589
1722	0.4360308
1723	0.4360027
1724	0.4359746
1725	0.4359465
1726	0.4359184
1727	0.4358903
1728	0.4358622
1729	0.4358341
1730	0.435806
1731	0.4357956
1732	0.4357852
1733	0.4357748
1734	0.4357644
1735	0.435754
1736	0.4357436
1737	0.4357332
1738	0.4357228
1739	0.4357124
1740	0.435702
1741	0.4356711
1742	0.4356402
1743	0.4356093
1744	0.4355784
1745	0.4355475
1746	0.4355166
1747	0.4354857
1748	0.4354548
1749	0.4354239
1750	0.435393
1751	0.4353515
1752	0.43531
1753	0.4352685
1754	0.435227
1755	0.4351855
1756	0.435144
1757	0.4351025
1758	0.435061
1759	0.4350195
1760	0.434978
1761	0.4349487
1762	0.4349194
1763	0.4348901
1764	0.4348608
1765	0.4348315
1766	0.4348022
1767	0.4347729
1768	0.4347436
1769	0.4347143
1770	0.434685
1771	0.4346612
1772	0.4346374
1773	0.4346136
1774	0.4345898
1775	0.434566
1776	0.4345422
1777	0.4345184
1778	0.4344946
1779	0.4344708
1780	0.434447
1781	0.4344293
1782	0.4344116
1783	0.4343939
1784	0.4343762
1785	0.4343585
1786	0.4343408
1787	0.4343231
1788	0.4343054
1789	0.4342877
1790	0.43427
1791	0.4342857
1792	0.4343014
1793	0.4343171
1794	0.4343328
1795	0.4343485
1796	0.4343642
1797	0.4343799
1798	0.4343956
1799	0.4344113
1800	0.434427
1801	0.4343253
1802	0.4342236
1803	0.4341219
1804	0.4340202
1805	0.4339185
1806	0.4338168
1807	0.4337151
1808	0.4336134
1809	0.4335117
1810	0.43341
1811	0.4334733
1812	0.4335366
1813	0.4335999
1814	0.4336632
1815	0.4337265
1816	0.4337898
1817	0.4338531
1818	0.4339164
1819	0.4339797
1820	0.434043
1821	0.4341059
1822	0.4341688
1823	0.4342317
1824	0.4342946
1825	0.4343575
1826	0.4344204
1827	0.4344833
1828	0.4345462
1829	0.4346091
1830	0.434672
1831	0.4346976
1832	0.4347232
1833	0.4347488
1834	0.4347744
1835	0.4348
1836	0.4348256
1837	0.4348512
1838	0.4348768
1839	0.4349024
1840	0.434928
1841	0.4348963
1842	0.4348646
1843	0.4348329
1844	0.4348012
1845	0.4347695
1846	0.4347378
1847	0.4347061
1848	0.4346744
1849	0.4346427
1850	0.434611
1851	0.4344305
1852	0.43425
1853	0.4340695
1854	0.433889
1855	0.4337085
1856	0.433528
1857	0.4333475
1858	0.433167
1859	0.4329865
1860	0.432806
1861	0.4322925
1862	0.431779
1863	0.4312655
1864	0.430752
1865	0.4302385
1866	0.429725
1867	0.4292115
1868	0.428698
1869	0.4281845
1870	0.427671
1871	0.426559
1872	0.425447
1873	0.424335
1874	0.423223
1875	0.422111
1876	0.420999
1877	0.419887
1878	0.418775
1879	0.417663
1880	0.416551
1881	0.4148654
1882	0.4131798
1883	0.4114942
1884	0.4098086
1885	0.408123
1886	0.4064374
1887	0.4047518
1888	0.4030662
1889	0.4013806
1890	0.399695
1891	0.3975064
1892	0.3953178
1893	0.3931292
1894	0.3909406
1895	0.388752
1896	0.3865634
1897	0.3843748
1898	0.3821862
1899	0.3799976
1900	0.377809
1901	0.3763385
1902	0.374868
1903	0.3733975
1904	0.371927
1905	0.3704565
1906	0.368986
1907	0.3675155
1908	0.366045
1909	0.3645745
1910	0.363104
1911	0.3628715
1912	0.362639
1913	0.3624065
1914	0.362174
1915	0.3619415
1916	0.361709
1917	0.3614765
1918	0.361244
1919	0.3610115
1920	0.360779
1921	0.3610628
1922	0.3613466
1923	0.3616304
1924	0.3619142
1925	0.362198
1926	0.3624818
1927	0.3627656
1928	0.3630494
1929	0.3633332
1930	0.363617
1931	0.364033
1932	0.364449
1933	0.364865
1934	0.365281
1935	0.365697
1936	0.366113
1937	0.366529
1938	0.366945
1939	0.367361
1940	0.367777
1941	0.3682322
1942	0.3686874
1943	0.3691426
1944	0.3695978
1945	0.370053
1946	0.3705082
1947	0.3709634
1948	0.3714186
1949	0.3718738
1950	0.372329
1951	0.3728069
1952	0.3732848
1953	0.3737627
1954	0.3742406
1955	0.3747185
1956	0.3751964
1957	0.3756743
1958	0.3761522
1959	0.3766301
1960	0.377108
1961	0.3776057
1962	0.3781034
1963	0.3786011
1964	0.3790988
1965	0.3795965
1966	0.3800942
1967	0.3805919
1968	0.3810896
1969	0.3815873
1970	0.382085
1971	0.3826012
1972	0.3831174
1973	0.3836336
1974	0.3841498
1975	0.384666
1976	0.3851822
1977	0.3856984
1978	0.3862146
1979	0.3867308
1980	0.387247
1981	0.3877741
1982	0.3883012
1983	0.3888283
1984	0.3893554
1985	0.3898825
1986	0.3904096
1987	0.3909367
1988	0.3914638
1989	0.3919909
1990	0.392518
1991	0.3930243
1992	0.3935306
1993	0.3940369
1994	0.3945432
1995	0.3950495
1996	0.3955558
1997	0.3960621
1998	0.3965684
1999	0.3970747
2000	0.397581
2001	0.3980412
2002	0.3985014
2003	0.3989616
2004	0.3994218
2005	0.399882
2006	0.4003422
2007	0.4008024
2008	0.4012626
2009	0.4017228
2010	0.402183
